airport	CLT	airport	ATL	domestic
airport	CLT	airport	BNA	domestic
airport	HEL	airport	RVN	domestic
airport	KGD	airport	LED	domestic
airport	LGA	airport	CLT	domestic
airport	MCO	airport	CLT	domestic
airport	LAX	airport	DCA	domestic
airport	PHX	airport	CMH	domestic
airport	IND	airport	DFW	domestic
airport	ELP	airport	DFW	domestic
airport	DTW	airport	DFW	domestic
airport	ORD	airport	JFK	domestic
airport	TUS	airport	DFW	domestic
airport	SMF	airport	DFW	domestic
airport	ORD	airport	LAX	domestic
airport	ATL	airport	CLT	domestic
airport	AUS	airport	PHX	domestic
airport	PHX	airport	MSP	domestic
airport	ATL	airport	DFW	domestic
airport	PHX	airport	ORD	domestic
airport	BNA	airport	CLT	domestic
airport	TPA	airport	PHL	domestic
airport	CLT	airport	MEM	domestic
airport	SNA	airport	ORD	domestic
airport	RDU	airport	PHL	domestic
airport	CLT	airport	MIA	domestic
airport	CMH	airport	DFW	domestic
airport	CLT	airport	RDU	domestic
airport	DFW	airport	LBB	domestic
airport	DFW	airport	PBI	domestic
airport	DFW	airport	IAH	domestic
airport	IND	airport	PHX	domestic
airport	JFK	airport	SFO	domestic
airport	DFW	airport	SAN	domestic
airport	LAX	airport	MSY	domestic
airport	LAS	airport	PHX	domestic
